Meaning ,Set ,Wari' ,Oro Win ,Wanyam ,Urupá ,Jarú , Torá ,Cojubim ,Moré ,Tapakura ,
I ,A ,wataʔ ,wataʔ ,wataʔ ,wata  ,? ,waza ,waza ,waʒ̟a ,waja ,waja 
You sg. ,A ,wum ,wym ,im ,vim ,? ,webm ,um ,momra ,awimo ,ahum
He,A ,wiriko ,woriko ,arukwan ,okain ,? ,wariko ,? ,korari  ,arikahu ,ariko 
We ,A  ,wariʔ ,wariʔ ,wari ,wari ,? ,wazati ,? ,watiʔ ,wajahu ,watʃe 
You pl.,A ,wahuʔ ,fuʔ ,? ,? ,? ,wihu ,? ,wura,? ,?
They ,A ,wirikoko ,worikoko ,? ,? ,? ,wariko bap ,? ,-  ,- ,? 
They ,B ,- ,- ,?,?,? ,-,?,omapu ,-,?
They ,C ,-,-,?,?,?,-,?,-,aʃiri ,?
Who/What ,A ,- ,ati ,? ,? ,? ,- ,? ,ati ,? ,? 
Who/What ,B ,kaɲ,- ,? ,? ,? ,teokaj ,? ,tikow,? ,? 
Many,A ,mija ,mijaʔ ,-,-,?,jab ,-,-,?,-
Many,B ,-,napa ,-,-,?,-,napa ,napa ,?,-
Many,C ,-,-,-,katimisam ,?,-,-,-,?,-
Many,D ,-,-,-,-,?,asinëji ,-,-,?,-
Many,E ,-,-,-,-,?,-,-,-,?,patiako 
Few,A ,parik ,-,-,?,?,?,?,-,-,?
Few,B ,- ,-,irakaw ,?,?,?,?,-,-,?
Few,C ,tokwan ,kawasan toman ,-,?,?,?,?,-,-,?
Few,D ,-,-,-,?,?,?,?,pun as,-,?
Few,E ,-,-,-,?,?,?,?,-,matia,?
One,A ,-,kawasan ,kawatʃyk ,-,?,kwatadn,tan ,tan ,tan kua ,-
One,B ,-,-,-,munim ,?,-,-,-,-,-
One,C ,-,-,-,-,?,-,-,-,-,mamai-omaitʃe 
Two,A,tyky karakan ,-,karikan ,?,?,kuradn ,wakoran ,pokoran ,wagaragatan ,?
Two,B ,-,jiksam ,-,?,?,-,-,-,-,?
Two,C ,-,-,-,?,?,-,-,-,ajuken,?
Big,A ,hwaraʔ ,foraʔ,-,-,hora,-,-,-,-,-
Big,B ,-,ekem ,-,evekem ,-,ukadn ,-,-,-,-
Big,C ,kote ne,-,-,-,-,-,-,-,-,-
Big,D ,-,-,-,-,-,-,ina ,ina,-,-
Big,E ,-,-,iparinaj,-,-,-,-,-,-,-
Big,F ,-,-,-,-,-,-,-,-,kowikon ,-
Big,G ,-,-,-,-,-,-,-,-,-,karatsaiko
Small,A ,wijima ,wijaman ,wijikun ,iamaj ,-,-,-,-,-,-
Small,B ,-,-,-,-,-,-,-,-,mitʃitikon ,piʃitiko 
Small,C ,-,-,-,-,-,-,e ,eje,-,-
Small,D ,-,-,-,-,-,nyaetʃidn ,-,-,-,-
Small,E ,-,-,-,-,ip ,-,-,-,-,-
Woman,A ,narimaʔ ,jamirima ,jamarimaʔ ,jamra ,jamiriman ,-,-,-,-,-
Woman,B ,-,-,-,-,-,-,tanaman ,tanaman ,-,-
Woman,C ,-,-,-,-,-,nakamin ,-,-,jamake ,ɲamaki 
Man,A ,taramaʔ ,kitrama ,kitaramaʔ ,kitrama ,kitraman ,-,-,-,-,-
Man,B ,-,-,-,-,-,nakon ,namakon ,namakon ,-,-
Human ,A ,wijam ,wajam ,wanjam ,-,wanjan ,-,-,wanjam ,-,?
Child ,A ,hwijimaʔ,ifijama ,marahujama ,uhunjam ,onjan ,-,-,joma ,-,-
Child ,B ,pijeʔ ,-,-,-,-,-,-,-,-,-
Child ,C ,-,-,-,-,-,irato ,rato ,ratoʔ ,-,-
Child ,D ,-,-,-,-,-,-,-,-,-,etiw 
Child ,E ,-,-,-,-,-,-,-,-,witʃitikun,-
Mother,A ,naʔ ,ina ,inaʔ ,-,-,inja,inaʔ ,inaʔ,?,?
Mother ,B ,we ,ywe ,ewiʔ ,ive ,uwe ,iwi ,uweʔ ,uweʔ,?,?
Father,A ,te ,iteʔ ,tata ,ete ,ete ,ite ,ite ,ite ,tia-tia,tatia 
Animal,A ,- ,-,patiʔ,?,?,?,patiʔ ,patiʔ ,?,?
Animal,B,karawa ,-,-,?,?,?,-,-,?,?
Fish,A,hwam ,ifam ,iham ,iham ,ihamʔ ,hoam ,-,-,ihuam ,iham 
Bird,A ,me ,yme ,imeʔ ,ume ,ume ,uma ,ume ,ume ,ime ,hume 
Peccary ,A ,-,-,tokawan ,?,?,tukawadn ,tokowan ,tokowan ,tukawa ,tukawan 
Peccary ,B ,katatʃik ,-,-,?,?,-,-,-,-,-
Peccary ,C ,-,oro jaman,-,?,?,-,-,-,-,-
Deer ,A,-,-,-,jemob ,wijemu ,vijemop ,-,jimop ,-,-
Deer ,B,komem ,-,-,-,komem ,-,-,-,-,-
Deer ,C,-,-,imariʔ ,-,-,-,-,-,kimari ,kimari 
Deer ,D ,-,aranasi ,-,-,-,-,-,-,-,-
Deer ,E ,-,-,-,-,-,-,towam ,-,-,-
Louse,A,iwʔ ,iwisi ,iwi ,iw ,-,iw ,iw ,iw ,awi ,ahihi 
Snake,A ,- ,karakaw ,karakaw ,krakaw ,krakaon ,karakaw ,karakaw ,karakaw ,?,?
Snake,B ,emʔ ,-,-,-,-,-,-,-,?,?
Worm,A ,meteʔ ,emeteʔ ,-,?,emete ,?,-,-,?,?
Worm,B ,-,-,-,?,-,?,-,natanatan ,?,?
Worm,C ,-,-,akak ,?,-,?,-,-,?,?
Forest,A ,mi ,omi ,omi ,?,-,umi ,?,umi ,-,omi 
Forest,B,-,-,-,?,horoam ,-,?,-,-,-
Forest,C,-,-,-,?,-,-,?,-,witip ,-
Stick,A ,pana ,pana ,pana ,pana ,pana ,pana ,pana ,pana ,pane ,? 
Fruit,A ,-,ipijam ,ipijam ,?,opiã pana ,?,upeji pana ,upeje pana ,-,-
Fruit,B ,memem ,-,-,?,-,?,-,-,-,-
Fruit,C  ,-,-,-,?,-,?,-,-,maritia ,-
Fruit,D ,-,-,-,?,-,?,-,-,-,pekoɲoɲi
Leaf,A ,taji ,tajinan ,tain ,?,? ,-,tan ,tan ,-,-
Leaf,B ,-,-,-,?,-,murami ,-,-,-,-
Leaf,C ,-,-,-,?,-,-,-,-,-,atia 
Leaf,D ,-,-,-,?,-,-,-,-,ʃuɲu ,-
Root,A ,katʃima ,sikinan ,-,?,?,-,-,-,?,?
Flower,A ,piwaɲ,piwan ,-,?,piwan ,piwaj ,piwan ,piwan ,- ,- 
Flower,B ,-,-,-,?,-,-,-,-,tahune ,tohot ɲe
Grass,A ,tononoɲ,-,-,?,-,?,?,-,-,-
Grass,B ,-,-,iwijip,?,iwip ,?,?,-,-,-
Grass,C ,-,kawawaʔ ,-,?,-,?,?,-,-,-
Grass,D ,-,-,-,?,-,?,?,-,wiʃiti morutam ,wiwiti 
Grass,E ,-,-,-,?,-,?,?,towan ,-,-
Rope,A,makon ,mokorikon ,mokon ,mukon ,-,-,mokon ,mokon ,?,?
Rope,B,-,-,-,-,kurupi ,tukuripa ,-,-,?,?
Skin,A ,taparitʃiʔ ,toporisi ,tupariʃiʔ ,tuparisi ,tuparesi ,tupara ,?,topan ,tuparitʃi,paritʃe
Meat,A ,kweretʃiʔ ,ykeresi ,ikerem,?,ikekren ,?,?,ukun,?,?
Blood,A ,kitʃiʔ ,wikisi ,wiki ,wikisi ,wit ,wi ,?,wyk ,awi ,aweitʃe 
Bone,A,aratʃiʔ ,aran ,araj ,arasi ,rasi ,ataʃi ,at ,at ,atat ,taritʃe 
Fat ,A ,homaɲ,mafomasi ,wahumajn ,?,ahomi ,taahon ,mapum ,mapom ,momikum-kiru ,-
Fat ,B ,-,-,-,?,-,-,-,-,- ,mitaikongo 
Egg,A ,arajeɲ,arikon ,arikon ,erejen ,rejen ,azeron ,ari jaɲ,ariʒ̟a ,ateranta ,tirantia 
Horn,A ,pitʃinaɲ,pitikon ,-,?,-,?,-,-,-,pitʃi
Horn,B ,-,-,tatawi ,?,-,?,tataw ,tataw ,-,-
Horn,C ,-,-,-,?,ileken ,?,-,-,-,-
Horn,D ,-,-,-,?,-,?,-,-,injawan ,-
Tail,A ,kahwereɲ,keferesi ,kahire ,?,?,?,kipun ,kipun ,-,-
Tail,B ,-,-,-,?,?,?,-,-,tʃipitʃi ,sokotʃetitʃe 
Hair,A ,tenenetʃiʔ ,tynesi ,tiniʃiʔ,-,tinji ,tuni ,tuna ,tuneɲ ,tʃumitʃi ,tʃumitʃe 
Hair,B ,-,-,-,yvenesi ,juhenesi ,-,-,-,-,-
Hair,C ,-,-,-,-,jupisi ,-,-,-,-,-
Head,A ,-,ipijisi ,ipijiʃiʔ ,ypirisi ,-,upujeʃi ,upek ,upwik ,upatʃi ,paitʃe 
Head,B ,winatʃiʔ ,-,-,-,-,-,-,-,-,-
Head,C ,-,-,-,-,totepisi ,-,-,-,-,-
Ear,A ,tarajitʃiʔ ,trajisi ,tarajiʃiʔ ,traisi ,traisi ,-,-,-,taitatatʃi ,tatiatatʃe 
Ear,B ,-,-,-,-,-,tetete ,tenetet ,tenetet ,-,-
Eye,A ,tokotʃiʔ ,tokisi ,tokiʃiʔ ,tukesi ,tekisi ,tok ,tok ,tok ,tukutʃi ,kutʃi 
Nose,A ,weretʃiʔ ,yrysi ,iriʃiʔ ,juresi ,jolisi ,uj ,ur ,uʒ̟ ,uturutʃi ,turutʃe 
Mouth,A,topak ,topakasi ,topakaʃiʔ ,tupakasi ,tupakasi ,-,?,topak ,tupakatʃi ,-
Mouth,B,-,-,-,-,-,-,?,-,-,rikajatʃi 
Mouth,C,-,-,-,-,-,tuaraw ,?,-,-,-
Tooth,A ,tʃitʃiʔ,ijitisi ,ijitiʃiʔ ,jetisi ,itisi ,jatiʃi ,?,jat ,jatitʃi ,ijaditʃe 
Tongue,A ,petehwet ,tepekejesi ,-,-,-,-,-,-,tapuitakatʃi ,-
